# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-16526	(S)-6-hydroxynicotine oxidase	1.5.3.5	NA									|P181-PWY|	no_blast	NA	rxn02292 	NA	0	NA
RXN-16527	RXN-16527		NA									|P181-PWY|	spontaneous	NA	 	NA	0	NA
RXN-16528	(R)-6-hydroxynicotine oxidase	1.5.3.6	NA									|P181-PWY|	no_blast	NA	rxn04956 	NA	0	NA
CATECHOL-23-DIOXYGENASE-RXN	catechol 2,3-dioxygenase	1.13.11.2	NA									|P183-PWY|	no_blast	NA	rxn00587 rxn02861 rxn03607 rxn03704 rxn03706 rxn07602 rxn21499 rxn21500 	NA	0	NA
3.7.1.9-RXN	2-hydroxymuconic semialdehyde hydrolase	3.7.1.9		UniRef90_P19076	54.676	6.52e-108	340	98	gnl|DSMZ|unitig_0|quiver_consensus	17852	18685	|P183-PWY|	good_blast	NA	rxn01896 rxn03608 rxn03663 rxn04096 rxn18913 	NA	0	1
PROTOCATECHUATE-45-DIOXYGENASE-RXN	protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)	1.13.11.8	NA									|P184-PWY|	no_blast	NA	rxn01193 rxn02533 rxn02983 rxn20899 	Subunit 1	0	NA
PROTOCATECHUATE-45-DIOXYGENASE-RXN	protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)	1.13.11.8	NA									|P184-PWY|	no_blast	NA	rxn01193 rxn02533 rxn02983 rxn20899 	Subunit 2	0	NA
PROTOCATECHUATE-45-DIOXYGENASE-RXN	protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)	1.13.11.8	NA									|P184-PWY|	no_blast	NA	rxn01193 rxn02533 rxn02983 rxn20899 	NA	0	NA
R107-RXN	R107-RXN		NA									|P184-PWY|	spontaneous	NA	rxn03097 	NA	0	NA
RXN-2463	4-carboxy-2-hydroxymuconate hydratase	4.2.1.83	NA									|P184-PWY|	no_blast	NA	rxn03050 rxn03089 	NA	0	NA
RXN-2462	2-pyrone-4,6-dicarboxylate hydrolase	3.1.1.57	NA									|P184-PWY|	no_blast	NA	rxn02980 rxn23791 	NA	0	NA
RXN-9983	4-oxalomesaconate tautomerase	5.3.2.8	NA									|P184-PWY|	spontaneous	NA	rxn16552 	NA	0	NA
1.2.1.45-RXN	2-hydroxy-4-carboxymuconate-6-semialdehyde dehydrogenase	1.1.1.312/1.2.1.45	NA									|P184-PWY|	no_blast	NA	rxn02981 rxn02982 rxn03055 rxn03056 rxn03078 	NA	0	NA
OXALODECARB-RXN	oxaloacetate beta-decarboxylase	4.1.1.112/4.1.1.3/7.2.4.2		UniRef90_Q8XGX8	34.249	2.94e-81	276	99	gnl|DSMZ|unitig_0|quiver_consensus	1921219	1923018	|P184-PWY|	good_blast	NA	rxn00162 rxn00736 rxn15044 	Subunit 1	0	NA
OXALODECARB-RXN	oxaloacetate beta-decarboxylase	4.1.1.112/4.1.1.3/7.2.4.2	NA									|P184-PWY|	no_blast	NA	rxn00162 rxn00736 rxn15044 	Subunit 2	0	NA
OXALODECARB-RXN	oxaloacetate beta-decarboxylase	4.1.1.112/4.1.1.3/7.2.4.2	NA	UniRef90_Q8DC44	25.352	8.9	21.9	84	gnl|DSMZ|unitig_0|quiver_consensus	731776	731988	|P184-PWY|	bad_blast	NA	rxn00162 rxn00736 rxn15044 	Subunit 3	0	NA
OXALODECARB-RXN	oxaloacetate beta-decarboxylase	4.1.1.112/4.1.1.3/7.2.4.2	NA	sp|P0A955|ALKH_ECOLI	50.000	1.02e-59	199	95	gnl|DSMZ|unitig_0|quiver_consensus	1507780	1507175	|P184-PWY|	bad_blast	NA	rxn00162 rxn00736 rxn15044 	Subunit undefined	0	NA
RXN-2464	4-oxalocitramalate aldolase	4.1.3.17	NA									|P184-PWY|	no_blast	NA	rxn00004 rxn00255 rxn12707 rxn18929 rxn18930 	NA	0	NA
FORMALDEHYDE-TRANSKETOLASE-RXN	dihydroxyacetone synthase	2.2.1.3		UniRef50_K9EEF3	36.950	3.81e-107	354	97	gnl|DSMZ|unitig_0|quiver_consensus	1672766	1674766	|P185-PWY|	good_blast	threshold	rxn01048 rxn04676 rxn04677 	NA	0	1
GLYCERONE-KINASE-RXN	dihydroxyacetone kinase	2.7.1.29	NA									|P185-PWY|	no_blast	threshold	rxn00744 	NA	0	NA
F16ALDOLASE-RXN	F16ALDOLASE-RXN	4.1.2.13/4.1.2.7		UniRef90_Q8K9B2	36.471	2.55e-63	215	94	gnl|DSMZ|unitig_0|quiver_consensus	197993	198970	|P185-PWY|	good_blast	threshold	rxn00786 rxn01334 rxn01870 rxn15116 rxn28981 rxn31335 rxn33841 rxn33866 	NA	0	1
F16BDEPHOS-RXN	F16BDEPHOS-RXN	3.1.3.11		UniRef90_P0A9C9	45.266	4.13e-87	283	98	gnl|DSMZ|unitig_0|quiver_consensus	592759	591797	|P185-PWY|	good_blast	threshold	rxn00549 rxn15494 rxn33589 rxn33840 	NA	0	1
F16BDEPHOS-RXN	F16BDEPHOS-RXN	3.1.3.11		UniRef90_Q31QY2	39.942	2.13e-68	229	99	gnl|DSMZ|unitig_0|quiver_consensus	592762	591809	|P185-PWY|	good_blast	threshold	rxn00549 rxn15494 rxn33589 rxn33840 	NA	0	1
F16BDEPHOS-RXN	F16BDEPHOS-RXN	3.1.3.11		UniRef90_P21437	39.252	5.60e-67	224	99	gnl|DSMZ|unitig_0|quiver_consensus	592756	591836	|P185-PWY|	good_blast	threshold	rxn00549 rxn15494 rxn33589 rxn33840 	NA	0	1
F16BDEPHOS-RXN	F16BDEPHOS-RXN	3.1.3.11		UniRef90_B0C1Z3	38.663	9.61e-66	222	98	gnl|DSMZ|unitig_0|quiver_consensus	592762	591815	|P185-PWY|	good_blast	threshold	rxn00549 rxn15494 rxn33589 rxn33840 	NA	0	1
F16BDEPHOS-RXN	F16BDEPHOS-RXN	3.1.3.11		UniRef90_Q7TVA4	40.923	3.25e-60	205	96	gnl|DSMZ|unitig_0|quiver_consensus	592762	591836	|P185-PWY|	good_blast	threshold	rxn00549 rxn15494 rxn33589 rxn33840 	NA	0	1
2TRANSKETO-RXN	2TRANSKETO-RXN	2.2.1.1		UniRef90_A0A0I9QGZ2	45.536	0.0	584	97	gnl|DSMZ|unitig_0|quiver_consensus	1672757	1674766	|P185-PWY|	good_blast	threshold	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
2TRANSKETO-RXN	2TRANSKETO-RXN	2.2.1.1		UniRef90_D5AV94	42.963	9.40e-140	449	95	gnl|DSMZ|unitig_0|quiver_consensus	1672784	1674769	|P185-PWY|	good_blast	threshold	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
2TRANSKETO-RXN	2TRANSKETO-RXN	2.2.1.1		UniRef90_O83571	41.290	1.32e-126	410	89	gnl|DSMZ|unitig_0|quiver_consensus	1672784	1674613	|P185-PWY|	good_blast	threshold	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_Q9Z520	67.181	1.80e-115	361	99	gnl|DSMZ|unitig_0|quiver_consensus	1682706	1681930	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_A4TC25	65.079	4.35e-106	334	96	gnl|DSMZ|unitig_0|quiver_consensus	1682703	1681948	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_P9WG43	65.476	1.24e-101	321	96	gnl|DSMZ|unitig_0|quiver_consensus	1682703	1681948	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_Q741C5	63.889	4.59e-100	317	96	gnl|DSMZ|unitig_0|quiver_consensus	1682703	1681948	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_B1MC85	62.302	1.26e-98	312	96	gnl|DSMZ|unitig_0|quiver_consensus	1682703	1681948	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_P46711	60.714	1.72e-95	303	96	gnl|DSMZ|unitig_0|quiver_consensus	1682703	1681948	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_Q93GB7	44.141	7.64e-70	229	99	gnl|DSMZ|unitig_0|quiver_consensus	1682703	1681936	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_B1GZW3	46.875	6.23e-69	227	99	gnl|DSMZ|unitig_0|quiver_consensus	1682700	1681933	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_P96744	51.765	2.29e-68	225	99	gnl|DSMZ|unitig_0|quiver_consensus	1682700	1681936	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_Q2G030	46.457	5.26e-67	221	98	gnl|DSMZ|unitig_0|quiver_consensus	1682700	1681942	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_Q01SE4	44.094	8.51e-62	206	99	gnl|DSMZ|unitig_0|quiver_consensus	1682700	1681939	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
TRIOSEPISOMERIZATION-RXN	TRIOSEPISOMERIZATION-RXN	5.3.1.1		UniRef90_Q56738	49.802	7.21e-61	204	97	gnl|DSMZ|unitig_0|quiver_consensus	1682700	1681948	|P185-PWY|	good_blast	threshold	rxn00747 	NA	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef90_P17721	58.154	3.03e-108	343	99	gnl|DSMZ|unitig_0|quiver_consensus	1684968	1684000	|P185-PWY|	good_blast	threshold	rxn00781 rxn33210 rxn33842 	NA	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef90_P80506	55.319	5.39e-107	340	97	gnl|DSMZ|unitig_0|quiver_consensus	1684971	1683997	|P185-PWY|	good_blast	threshold	rxn00781 rxn33210 rxn33842 	NA	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef90_P15115	53.892	7.23e-103	328	99	gnl|DSMZ|unitig_0|quiver_consensus	1684977	1683985	|P185-PWY|	good_blast	threshold	rxn00781 rxn33210 rxn33842 	NA	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef90_P51009	54.790	2.87e-100	321	99	gnl|DSMZ|unitig_0|quiver_consensus	1684977	1683982	|P185-PWY|	good_blast	threshold	rxn00781 rxn33210 rxn33842 	NA	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef90_P47543	49.102	4.27e-91	295	98	gnl|DSMZ|unitig_0|quiver_consensus	1684974	1683988	|P185-PWY|	good_blast	threshold	rxn00781 rxn33210 rxn33842 	NA	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef90_P0C0G6	52.410	5.88e-91	294	99	gnl|DSMZ|unitig_0|quiver_consensus	1684977	1684003	|P185-PWY|	good_blast	threshold	rxn00781 rxn33210 rxn33842 	NA	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef90_P17721	39.884	1.39e-65	221	99	gnl|DSMZ|unitig_0|quiver_consensus	2978251	2977229	|P185-PWY|	good_blast	threshold	rxn00781 rxn33210 rxn33842 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q9Z519	69.797	3.44e-165	510	97	gnl|DSMZ|unitig_0|quiver_consensus	1683898	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A0JWP8	63.317	3.62e-145	453	97	gnl|DSMZ|unitig_0|quiver_consensus	1683898	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_P18912	50.882	6.32e-119	377	99	gnl|DSMZ|unitig_0|quiver_consensus	1683922	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_B7GL27	48.363	2.77e-116	369	99	gnl|DSMZ|unitig_0|quiver_consensus	1683922	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_P40924	48.363	1.18e-114	365	99	gnl|DSMZ|unitig_0|quiver_consensus	1683922	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q81X75	49.231	6.06e-114	363	97	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_P9WID1	55.556	1.82e-110	353	95	gnl|DSMZ|unitig_0|quiver_consensus	1683898	1682723	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_B2KC44	45.570	3.20e-109	349	98	gnl|DSMZ|unitig_0|quiver_consensus	1683928	1682744	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A1QYK6	44.750	4.11e-107	343	99	gnl|DSMZ|unitig_0|quiver_consensus	1683928	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q2S3A7	50.123	2.14e-106	341	99	gnl|DSMZ|unitig_0|quiver_consensus	1683922	1682726	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A1BJZ1	47.870	7.21e-106	340	99	gnl|DSMZ|unitig_0|quiver_consensus	1683922	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A5CYN8	52.130	1.86e-104	335	99	gnl|DSMZ|unitig_0|quiver_consensus	1683922	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_C6BUI7	47.028	1.66e-99	321	96	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682744	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A0LJZ1	45.409	1.21e-98	319	99	gnl|DSMZ|unitig_0|quiver_consensus	1683925	1682726	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q7WTU1	45.274	7.81e-97	314	96	gnl|DSMZ|unitig_0|quiver_consensus	1683898	1682744	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q2G031	43.781	5.12e-96	311	99	gnl|DSMZ|unitig_0|quiver_consensus	1683922	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A8EWM4	44.359	4.47e-92	300	96	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682744	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q833I9	47.215	3.19e-91	297	93	gnl|DSMZ|unitig_0|quiver_consensus	1683865	1682741	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_B4S6S2	48.120	1.91e-88	290	99	gnl|DSMZ|unitig_0|quiver_consensus	1683922	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A1AVA8	40.602	2.84e-87	286	97	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682717	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q5NF76	41.253	4.19e-87	285	94	gnl|DSMZ|unitig_0|quiver_consensus	1683865	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q47A08	42.569	9.63e-87	284	97	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A5CXU9	42.079	1.19e-86	284	97	gnl|DSMZ|unitig_0|quiver_consensus	1683928	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q5ZZ74	44.275	8.44e-85	279	96	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_B8GP44	41.912	7.62e-81	267	99	gnl|DSMZ|unitig_0|quiver_consensus	1683928	1682717	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_B7H3N8	43.921	7.18e-79	262	97	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682735	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q3SMD2	39.950	2.24e-75	251	98	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682717	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_B8J4D3	44.643	2.04e-75	251	97	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A6W3D3	43.564	1.75e-74	249	99	gnl|DSMZ|unitig_0|quiver_consensus	1683928	1682729	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_Q1LSJ6	39.356	4.20e-74	248	98	gnl|DSMZ|unitig_0|quiver_consensus	1683925	1682735	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A5WFD0	37.592	3.73e-67	228	97	gnl|DSMZ|unitig_0|quiver_consensus	1683901	1682732	|P185-PWY|	good_blast	threshold	rxn01100 rxn32521 rxn33845 	NA	0	1
TRANSALDOL-RXN	transaldolase	2.2.1.2		UniRef90_B2HP98	65.014	4.02e-148	460	96	gnl|DSMZ|unitig_0|quiver_consensus	1674826	1675911	|P185-PWY|	good_blast	threshold	rxn01333 rxn29919 	NA	0	1
TRANSALDOL-RXN	transaldolase	2.2.1.2		UniRef90_P9WG33	64.054	8.93e-147	456	99	gnl|DSMZ|unitig_0|quiver_consensus	1674844	1675947	|P185-PWY|	good_blast	threshold	rxn01333 rxn29919 	NA	0	1
1TRANSKETO-RXN	1TRANSKETO-RXN	2.2.1.1		UniRef90_A0A0I9QGZ2	45.536	0.0	584	97	gnl|DSMZ|unitig_0|quiver_consensus	1672757	1674766	|P185-PWY|	good_blast	threshold	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
1TRANSKETO-RXN	1TRANSKETO-RXN	2.2.1.1		UniRef90_D5AV94	42.963	9.40e-140	449	95	gnl|DSMZ|unitig_0|quiver_consensus	1672784	1674769	|P185-PWY|	good_blast	threshold	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
1TRANSKETO-RXN	1TRANSKETO-RXN	2.2.1.1		UniRef90_O83571	41.290	1.32e-126	410	89	gnl|DSMZ|unitig_0|quiver_consensus	1672784	1674613	|P185-PWY|	good_blast	threshold	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
RIB5PISOM-RXN	RIB5PISOM-RXN	5.3.1.6	NA	UniRef90_Q9CBY1	53.425	7.13e-49	165	96	gnl|DSMZ|unitig_0|quiver_consensus	2121411	2120974	|P185-PWY|	bad_blast	threshold	rxn00777 rxn15114 rxn33860 rxn33861 	NA	0	NA
RIBULP3EPIM-RXN	RIBULP3EPIM-RXN	5.1.3.1		UniRef90_P9WI51	62.304	3.75e-71	232	83	gnl|DSMZ|unitig_0|quiver_consensus	1765137	1764565	|P185-PWY|	good_blast	threshold	rxn01116 rxn33862 	NA	0	1
R201-RXN	nitroglycerin reductase (1,3-dinitroglycerol forming)		NA	tr|O31246|O31246_RHIRD	31.351	4.81e-29	116	95	gnl|DSMZ|unitig_0|quiver_consensus	1237754	1238737	|P201-PWY|	bad_blast	NA	 	NA	0	NA
R202-RXN	1,3-dinitroglycerol reductase		NA									|P201-PWY|	no_seq_data	NA	 	NA	0	NA
R203-RXN	nitroglycerin reductase (1,2-dinitroglycerol forming)		NA	tr|O31246|O31246_RHIRD	31.351	4.81e-29	116	95	gnl|DSMZ|unitig_0|quiver_consensus	1237754	1238737	|P201-PWY|	bad_blast	NA	 	NA	0	NA
R204-RXN	1,2-dinitroglycerol reductase (1-mononitroglycerol forming)		NA									|P201-PWY|	no_seq_data	NA	 	NA	0	NA
RXN-15252	1,2-dinitroglycerin reductase (2-mononitroglycerol forming)		NA									|P201-PWY|	no_seq_data	NA	 	NA	0	NA
R164-RXN	R164-RXN		NA									|P203-PWY|	no_seq_data	NA	 	NA	0	NA
RIBULP3EPIM-RXN	ribulose-phosphate 3-epimerase	5.1.3.1		UniRef90_P9WI51	62.304	3.75e-71	232	83	gnl|DSMZ|unitig_0|quiver_consensus	1765137	1764565	|P21-PWY|	good_blast	full	rxn01116 rxn33862 	NA	0	1
1TRANSKETO-RXN	transketolase	2.2.1.1		UniRef90_A0A0I9QGZ2	45.536	0.0	584	97	gnl|DSMZ|unitig_0|quiver_consensus	1672757	1674766	|P21-PWY|	good_blast	full	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
1TRANSKETO-RXN	transketolase	2.2.1.1		UniRef90_D5AV94	42.963	9.40e-140	449	95	gnl|DSMZ|unitig_0|quiver_consensus	1672784	1674769	|P21-PWY|	good_blast	full	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
1TRANSKETO-RXN	transketolase	2.2.1.1		UniRef90_O83571	41.290	1.32e-126	410	89	gnl|DSMZ|unitig_0|quiver_consensus	1672784	1674613	|P21-PWY|	good_blast	full	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
2TRANSKETO-RXN	transketolase	2.2.1.1		UniRef90_A0A0I9QGZ2	45.536	0.0	584	97	gnl|DSMZ|unitig_0|quiver_consensus	1672757	1674766	|P21-PWY|	good_blast	full	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
2TRANSKETO-RXN	transketolase	2.2.1.1		UniRef90_D5AV94	42.963	9.40e-140	449	95	gnl|DSMZ|unitig_0|quiver_consensus	1672784	1674769	|P21-PWY|	good_blast	full	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
2TRANSKETO-RXN	transketolase	2.2.1.1		UniRef90_O83571	41.290	1.32e-126	410	89	gnl|DSMZ|unitig_0|quiver_consensus	1672784	1674613	|P21-PWY|	good_blast	full	rxn00785 rxn01200 rxn04443 rxn04676 rxn04678 rxn15228 rxn15271 rxn15630 rxn15640 rxn27536 rxn33863 rxn33864 rxn33865 	NA	0	1
R221-RXN	octanol dehydrogenase			UniRef50_Q7X2H8	35.231	5.20e-67	233	96	gnl|DSMZ|unitig_0|quiver_consensus	1566447	1564849	|P221-PWY|	good_blast	threshold	 	NA	0	1
